sr_no,state,honble_members_of_parliaments,constituency,allocated_amount_rupees,allocated_amount_rupees_invalid_negative,source_dataset
31,Odisha,ANANTA NAYAK,KEONJHAR(ST),147000000.0,False,Allocated_Limit.csv
32,Tamil Nadu,Andimuthu Raja,NILGIRIS(SC),147000000.0,False,Allocated_Limit.csv
33,Meghalaya,ANDREW J. SYNGKON,SHILLONG,98000000.0,False,Allocated_Limit.csv
34,Manipur,ANGOMCHA BIMOL AKOIJAM,INNER MANIPUR,147000000.0,False,Allocated_Limit.csv
35,Uttarakhand,ANIL BALUNI,GARHWAL,147000000.0,False,Allocated_Limit.csv
36,Maharashtra,ANIL YESHWANT DESAI,MUMBAI SOUTH CENTRAL,147000000.0,False,Allocated_Limit.csv
37,Madhya Pradesh,ANITA NAGARSINGH CHOUHAN,RATLAM(ST),147000000.0,False,Allocated_Limit.csv
38,Odisha,ANITA SUBHADARSHINI,ASKA,147000000.0,False,Allocated_Limit.csv
39,Jharkhand,Annpurna Devi,KODARMA,166665931.8,False,Allocated_Limit.csv
40,Uttar Pradesh,ANOOP PRADHAN BALMIKI,HATHRAS (SC),147000000.0,False,Allocated_Limit.csv
41,Kerala,Anto Antony,PATHANAMTHITTA,147000000.0,False,Allocated_Limit.csv
42,Maharashtra,ANUP SANJAY DHOTRE,AKOLA,147000000.0,False,Allocated_Limit.csv
43,Uttar Pradesh,Anurag Sharma,JHANSI,147000000.0,False,Allocated_Limit.csv
44,Himachal Pradesh,Anurag Singh Thakur,HAMIRPUR_HP,149570117.11,False,Allocated_Limit.csv
45,Andhra Pradesh,Appalanaidu Kalisetti,VIZIANAGARAM,147000000.0,False,Allocated_Limit.csv
46,Bihar,ARUN BHARTI,JAMUI(SC),194924621.11,False,Allocated_Limit.csv
47,Uttar Pradesh,ARUN GOVIL,MEERUT,147000000.0,False,Allocated_Limit.csv
48,Tamil Nadu,ARUN NEHRU,PERAMBALUR,147000000.0,False,Allocated_Limit.csv
49,Telangana,ARUNA. D. K,MAHABUBNAGAR,147000000.0,False,Allocated_Limit.csv
50,West Bengal,ARUP CHAKRABORTY,BANKURA,147000000.0,False,Allocated_Limit.csv
51,Telangana,Arvind Dharmapuri,NIZAMABAD,281396355.11,False,Allocated_Limit.csv
52,Maharashtra,Arvind Ganpat Sawant,MUMBAI SOUTH,147000000.0,False,Allocated_Limit.csv
53,Telangana,Asaduddin Owaisi,HYDERABAD,147000000.0,False,Allocated_Limit.csv
54,Madhya Pradesh,ASHISH DUBEY,JABALPUR,147000000.0,False,Allocated_Limit.csv
55,Uttar Pradesh,Ashok Kumar Rawat,MISRIKH(SC),147000000.0,False,Allocated_Limit.csv
56,Bihar,Ashok Kumar Yadav,MADHUBANI,147000000.0,False,Allocated_Limit.csv
57,West Bengal,Asit Kumar Mal,BOLPUR(SC),275694456.74,False,Allocated_Limit.csv
58,Uttar Pradesh,ATUL GARG,GHAZIABAD,155336470.0,False,Allocated_Limit.csv
59,Odisha,AVIMANYU SETHI,BHADRAK(SC),147000000.0,False,Allocated_Limit.csv
60,Uttar Pradesh,AWADHESH PRASAD,FAIZABAD,147000000.0,False,Allocated_Limit.csv
61,West Bengal,AZAD KIRTI JHA,BARDHAMAN-DURGAPUR,179658399.98,False,Allocated_Limit.csv
62,Andhra Pradesh,B K PARTHASARATHI,HINDUPUR,160491894.11,False,Allocated_Limit.csv
63,Uttar Pradesh,BABU SINGH KUSHWAHA,JAUNPUR,147000000.0,False,Allocated_Limit.csv
64,Maharashtra,BACHHAV SHOBHA DINESH,DHULE,147000000.0,False,Allocated_Limit.csv
65,West Bengal,BAG MITALI,ARAMBAG(SC),147000000.0,False,Allocated_Limit.csv
66,Odisha,BAIJAYANT PANDA,KENDRAPARA,147000000.0,False,Allocated_Limit.csv
67,Maharashtra,BAJRANG MANOHAR SONWANE,BEED,165899107.19,False,Allocated_Limit.csv
68,Odisha,BALABHADRA MAJHI,NABARANGPUR(ST),147413962.11,False,Allocated_Limit.csv
